Field,Description,Field_Name,Table_Name,Data_Types,Remarks
ICNO,Customer Number,CFCIFN,CFMAST,"NUMBER(19,0)",
ACTTYPE,Constitution,CFCCAT,CFMAST,"NUMBER(9,0)",
CUST_TYPE,Customer Type,CFINDI,CFMAST,VARCHAR2(1BYTE),
BIRTH_INCORP_DATE,Date of Birth/Incorporation,CFBIR8,CFMAST,"NUMBER(8,0)",
MARITAL,Marital Status,CFMARS,CFMAST,VARCHAR2(1 BYTE),
GENDER,Gender,CFSEX,CFMAST,VARCHAR2(1 BYTE),
NATIONALITY,Nationality/ Country of Incorporation,CFCITZ,CFMAST,VARCHAR2(3 BYTE),
CITIZEN,Citizen,CFCITZ,CFMAST,VARCHAR2(3 BYTE),
RACE_OWNSHIP,Race/Business Ownership,CFCITZ,CFMAST,VARCHAR2(3 BYTE),
BUMI_STATUS,Bumiputra Status,CFBUMI,CFXMST,VARCHAR2(1 BYTE),
RELIGION,Religion,CFRELI,CFMAST,VARCHAR2(3 BYTE),
SALES_TURNOVER,Annual Sales Turnover/ Revenue,CFANIR,CFXMST,"NUMBER(21,2)",
COMPANY_CLASS,Company Classification,CFSMES,CFXMST,VARCHAR2(1 BYTE),
SME,SME,CFSMEI,CFXMST,VARCHAR2(2 BYTE),
COMPLEX_LEGAL,Complex Legal Arrangement,CFCPLA,CFXMST,VARCHAR2(1 BYTE),
ASSET_NETWORTH,Asset Networth Value,CFASNW,CFXMST,VARCHAR2(10 BYTE),
CONN_PARTY,Connected Party,CFCONP,CFMAST,VARCHAR2(1 BYTE),
CUST_TEMP,Customer Template,CFCIFT,CFMAST,VARCHAR2(1 BYTE),
CUSTCD,Customer Code,CFCSTC,CFXMST,VARCHAR2(2 BYTE),
BUSINESS_TYPE,Business Type,CFSECC,CFMAST,VARCHAR2(10 BYTE),
PDPA,To Receive Promotional Material,CFDISF,CFMAST,VARCHAR2(1 BYTE),
PDPA_LMDAY,To Receive Promotional Material Last Maintenance Date,CFPDD8,CFXMST,"NUMBER(8,0)",
CIF_STATUS,CIF Status,CFCSTS,CFMAST,"NUMBER(1,0)",
OPDAY,CIF Creation Date,CFORG8,CFMAST,"NUMBER(8,0)",
LMDAY,CIF Last Maint,CFLMD8,CFXMST,"NUMBER(8,0)",
BRNO,CIF Branch,CFBRNN,CFMAST,"NUMBER(5,0)",
IDTYPE,ID Type,CFSSCD,CFAIDN,VARCHAR2(3 BYTE),
ID1,ID Number,CFSSNO,CFAIDN,VARCHAR2(40 BYTE),
ID_ISSUANCE_COUNTRY,Issuance Country,CFCIDT,CFAIDN,VARCHAR2(3 BYTE),
NAME,Customer Name,CFFNMS,CFALIA,VARCHAR2(200 BYTE),
HOME ADDR1,Address Line 1,CFNA2,CFADDR,VARCHAR2(40 BYTE),
HOME ADDR2,Address Line 2,CFNA3,CFADDR,VARCHAR2(40 BYTE),
HOME ADDR3,Address Line 3,CFNA4,CFADDR,VARCHAR2(40 BYTE),
HOME ADDR CITY,Address Line 4,CFNA5,CFADDR,VARCHAR2(40 BYTE),
HOME ADDR POSTCODE,Postal Code,CFZIP,CFADDR,VARCHAR2(9 BYTE),
HOME ADDR STATECD,State Code,CFSTAT,CFADDR,VARCHAR2(3 BYTE),
HOME ADDR COUNTRYCD,Country Code,CFCOUN,CFADDR,VARCHAR2(3 BYTE),
MAILING ADDR1,Address Line 1,CFNA2,CFADDR,VARCHAR2(40 BYTE),
MAILING ADDR2,Address Line 2,CFNA3,CFADDR,VARCHAR2(40 BYTE),
MAILING ADDR3,Address Line 3,CFNA4,CFADDR,VARCHAR2(40 BYTE),
MAILING ADDR CITY,Address Line 4,CFNA5,CFADDR,VARCHAR2(40 BYTE),
MAILING ADDR POSTCODE,Postal Code,CFZIP,CFADDR,VARCHAR2(9 BYTE),
MAILING ADDR STATECD,State Code,CFSTAT,CFADDR,VARCHAR2(3 BYTE),
MAILING ADDR COUNTRYCD,Country Code,CFCOUN,CFADDR,VARCHAR2(3 BYTE),
TEL MOBILE,Contact Number,CFEINT CFEADC = 'MBL',CFCONN,VARCHAR2(100 BYTE) / VARCHAR2(3 BYTE) ,
TEL HOME,Contact Number,CFEINT CFEADC = 'HPH',CFCONN,VARCHAR2(100 BYTE) / VARCHAR2(3 BYTE) ,
TEL OFFICE,Contact Number,CFEINT CFEADC = 'OPH',CFCONN,VARCHAR2(100 BYTE) / VARCHAR2(3 BYTE) ,
EMAIL,Email,CFEINT CFEADC = 'EML',CFCONN,VARCHAR2(100 BYTE) / VARCHAR2(3 BYTE) ,
EMP_TYPE,Employment Type,CFETCD,CFEMPH,VARCHAR2(3 BYTE),
EMP_SECTOR,Employment Sector,CFESCD,CFEMPH,VARCHAR2(5 BYTE),
OCCU_CLASS,Occupation Classification,CFOCLS,CFEMPH,VARCHAR2(5 BYTE),
OCCU_CCRIS,Occupation Code,CFBUST,CFEMPH,VARCHAR2(10 BYTE),
OCCU_AMLA,Occupation Code (AMLA),CFAMLO,CFEMPH,VARCHAR2(10 BYTE),
BUSINESS_INVOLVEMENT,Business Involvement,CFSECC,CFEMPH,VARCHAR2(10 BYTE),
EMP_NAME,Employer Name,"CFENA1, CFENA2",CFEMPH,VARCHAR2(40 BYTE),
MTH_INC_RANGE,Monthly Income Range,CFEINR,CFEMPH,VARCHAR2(10 BYTE),
HOUSEHOLD_INC,Household Income,CFHSHL,CFEMPH,"NUMBER(19,2)",
INDUSTRY_SEC_CD,Industry Sector Code,CFHCB6,CFCBCF,VARCHAR2(10 BYTE),
MSIC_CD,MSIC Code,CFCB06,CFCBCF,VARCHAR2(10 BYTE),
BNM_SECTOR_CD,BNM Sector Code,CFCB01,CFCBCF,VARCHAR2(10 BYTE),
RESIDENCY_STATUS,Residency Status (CCRIS),CFCB04,CFCBCF,VARCHAR2(10 BYTE),
INSTITUTIONAL_SEC,Institutional Sector,CFCB05,CFCBCF,VARCHAR2(10 BYTE),
ENTITY_TYPE,Entity Type,CFCB02,CFCBCF,VARCHAR2(10 BYTE),
BNMCD,BNM Code,CFCB07,CFCBCF,VARCHAR2(10 BYTE),
MY_TAX_PAYER,Malaysia Tax Payer?,CFRTAX,CFXMST,VARCHAR2(1 BYTE),
TAX_ID_TYP,Tax ID Type,CFSSCD,CFAIDN,VARCHAR2(3 BYTE),
TAX_ID_NO,Tax ID Number,CFFSNO,CFAIDN,VARCHAR2(40 BYTE),
TAX_ID_COUNTRY,Tax ID Issuance Country,CFCIDT,CFAIDN,VARCHAR2(3 BYTE),
