Field,Description,Field_Name,Table_Name,Data_Types,Remarks
1ST_PYMNT_DT,1st Pymt Date,FPDT8,LNMASTYS,"NUMBER(8,0)",
1ST_RELEASE_DT,1st Release Date,FRELD8,LNMASTYS,"NUMBER(8,0)",
1ST_TRANCHE_RELEASE_DT,1st Tranche Release Date,FTREL8,LNMASTYS,"NUMBER(8,0)",
ACCOUNT_NO,Account Number,ACCTNO,LNMASTYS,"NUMBER(19,0)",
ACCOUNT_TYP,Account Type,ACTYPE,LNMASTYS,VARCHAR2(1 BYTE),
ACCRUED_INT,Accrued Interest,ACCINT,LNMASTYS,VARCHAR2(1 BYTE),
AGREEMENT_DT,Agreement Date,AFOAD8,LNRPTO,"NUMBER(8,0)",
ALT_PAYEMENT_SCHDL,Alternate Pymt Sched,ALTSCH,LNMASTYS,VARCHAR2(1 BYTE),
ALT_RATE,Alternate Rate,ALTRAT,LNMASTYS,VARCHAR2(1 BYTE),
AMORT_PYMNT_SUSPNSE,Amortized Pymt Suspense,AMRSUS,LNMASTYS,"NUMBER(21,2)",
AMT_ARREARS,Amount Arrears,PDITOT,LNPDUE,"NUMBER(38,2)",
AMT_FIN_ORI,Original Amount,"ORGAMT TCHAMT",LNRPTO,"NUMBER(19,2)",
AMT_FIN_TCH,Tranche Amount,TCHAMT,LNRPTO,"NUMBER(19,2)",
AMT_RELEASE,Amount Release,AMTREL,LNMASTYS,"NUMBER(21,2)",
AMT_WRITEOFF,Write Off Amount,WOAMT,LNWOFF,"NUMBER(19,2)",
APP_TYP,Application Type,APTYPE,LNMASTYS,VARCHAR2(1 BYTE),
AVAI_END_DT,Availability End Date,AVAID8,LNMASTYS,"NUMBER(8,0)",
AVAI_START_DT,Available Start Date,UCEXD8,LNMASTYS,"NUMBER(8,0)",
AVR_BANK_RATE_STRTDT,Average Bank Rate StartDate,AVGSD8,LNMASTYS,"NUMBER(8,0)",
BILL_COM_FEE,Billed Com Fee,BILCF,LNMASTYS,"NUMBER(21,2)",
BILL_COM_FEE_OD,Billed Com Fee OD,BILCFO,LNMASTYS,VARCHAR2(1 BYTE),
BILL_ESCROW_AMT,Billed Escrow Amt,BILESC,LNMASTYS,"NUMBER(21,2)",
BILL_ESCROW_AMT_OD,Billed Escrow Amt OD,BILESO,LNMASTYS,"NUMBER(21,2)",
BILL_INT_AMT,Billed Int Amt,BILINT,LNMASTYS,"NUMBER(21,2)",
BILL_INT_AMT_OD,Billed Int Amt OD,BILINO,LNMASTYS,"NUMBER(21,2)",
BILL_LATE_CHRG,Billed Late Chgs,BILLC,LNMASTYS,"NUMBER(21,2)",
BILL_LATE_CHRG_OD,Billed Late Chgs OD,BILLCO,LNMASTYS,"NUMBER(21,2)",
BILL_MISC_COST,Billed Misc Cost,BILMC,LNMASTYS,"NUMBER(21,2)",
BILL_MISC_COST_OD,Billed Misc Cost OD,BILMCO,LNMASTYS,"NUMBER(21,2)",
BILL_MORA_INT,Billed Moratorium Int,BILMIN,LNMASTYS,"NUMBER(21,2)",
BILL_MORA_INT_OD,Billed Mora. Int. O/D,BILMIO,LNMASTYS,"NUMBER(21,2)",
BILL_OTH_CHRG,Billed Other Chgs,BILOC,LNMASTYS,"NUMBER(21,2)",
BILL_OTH_CHRG_OD,Billed Other Chgs OD,BILOCO,LNMASTYS,"NUMBER(21,2)",
BILL_PRIN_AMT_OD,Billed Prin Amt OD,BILPNO,LNMASTYS,"NUMBER(21,2)",
BILL_PRINT_AMT,Billed Prin Amt,BILPRN,LNMASTYS,"NUMBER(21,2)",
BILL_RESTRUCT_INT,Billed Restructure Int,BILRIN,LNMASTYS,"NUMBER(21,2)",
BILL_RESTRUCT_INT_OD,Billed Restruc. Int. O/D,BILRIO,LNMASTYS,"NUMBER(21,2)",
BILL_RESTRUCT_LC,Billed Restructured LC,BILRLC,LNMASTYS,"NUMBER(21,2)",
BILL_RESTRUCT_LC_OD,Billed Restruc. LC O/D,BILRLO,LNMASTYS,"NUMBER(21,2)",
BNM_PROD_CD,BNM Product Code,LLCFBT,LLBNMC,VARCHAR2(5 BYTE),
BRANCH_CD,Branch Number,BRN,LNMASTYS,"NUMBER(5,0)",
CAGAMAS_DT,Cagamas Agreement Date,CGPUR8,LNSCGC,"NUMBER(8,0)",
CALL_RATE_BASE_DEP_ACC,Cal RATE Base on dep acc,FDRATE,LNMASTYS,VARCHAR2(1 BYTE),
CAPPED_FIC_RATE_QUA,Capped/Fixed Rate Qualification,CAPRQC,LNMASTYS,VARCHAR2(1 BYTE),
CAPPED_FIX_METH,Capped/Fixed Rate Method,CAPMTD,LNMASTYS,VARCHAR2(1 BYTE),
CAPPED_FIX_RATE,Capped/Fixed Rate,CAPRAT,LNMASTYS,VARCHAR2(1 BYTE),
CAPPED_FIX_RATE_LOCK,Capped/Fixed Rate Lock In Period Code,CAPLIC,LNMASTYS,VARCHAR2(1 BYTE),
CGMS_SCHEME_FLG,Cagamas Scheme Flag,CGCFLG,LNMASTYS,VARCHAR2(1 BYTE),
CHRG_OFF_DT,Chg off Date,CHGTDT8,LNMASTYS,VARCHAR2(1 BYTE),
CIFNO,CIF Number,CIFNO,LNMASTYS,"NUMBER(19,0)",
CPF_FLG,CPF flag ,CPF,LNMASTYS,VARCHAR2(1 BYTE),
CREATION_DT,Date Entered,DATOP8,LNMASTYS,"NUMBER(8,0)",
CURR_BAL,Current Balance,CBAL,LNMASTYS,"NUMBER(21,2)",
CURRENCY_DEC,Currency Decimals,CURDEC,LNMASTYS,VARCHAR2(1 BYTE),
CURRENCY_TYP,Currency Type,CURTYP,LNMASTYS,VARCHAR2(4 BYTE),
DATE_DISBURSED,Disbursement Date,LRELD8,LNRPTO,"NUMBER(8,0)",
DEF_RATE_FLAG,Default Rate Flag,POMFLG,LNMASTYS,VARCHAR2(1 BYTE),
DEPT_CD,Department Code,DEPTCD,LNMASTYS,"NUMBER(3,0)",
DRAW_LMT,Drawing Limit,DRLIMT,LNMASTYS,"NUMBER(21,2)",
DRAWDWN_SHCDL,Drawndown Schd,DRWSCH,LNMASTYS,VARCHAR2(1 BYTE),
EXCESS_DT,Excess date,EXCDT8,LNMASTYS,"NUMBER(8,0)",
FACILITY_ID,Facility ID,AANO,LNMASTYS,"NUMBER(19,0)",
FINAL_MATURITY_DT,Final Maturity Date,FMATD8,LNMASTYS,"NUMBER(8,0)",
FINAL_PYMNT,Final Payment,FNLPMT,LNMASTYS,"NUMBER(21,2)",
FULL_REL_DT,Full Rel. Date,FULLD8,LNMASTYS,"NUMBER(8,0)",
GROUP_CD,Group Code,GROUP,LNMASTYS,"NUMBER(5,0)",
HOLD_MAIL_CD,Hold Mail Code,HMAIL,LNMASTYS,VARCHAR2(1 BYTE),
IMP_AMT,Amount Impairement,LIMAMT,LNIMPD,"NUMBER(21,2)",
IMP_CTRL,Impairment Control,IMPCTL,LNMASTYS,VARCHAR2(1 BYTE),
IMP_FLG,Impairment Flag,IMPFLG,LNMASTYS,VARCHAR2(1 BYTE),
INC_STMNT_CD,Include on Stmt Code,INCLUDE,LNMASTYS,VARCHAR2(1 BYTE),
INSTALL_OD,Instl Based Overdraft,INSTOD,LNMASTYS,VARCHAR2(1 BYTE),
INSTALL_TYPE,Instalment Type,WKRPTYPE,LNRPTO,VARCHAR2(2 BYTE),
INT_BASE,Interest Base,IBASE,LNMASTYS,"NUMBER(1,0)",
INT_FEE_AMT,Interest Free Amount,FREINT,LNMASTYS,"NUMBER(21,2)",
INT_FREE_PMT_PORTION,Int Free Pmt Portion,FREINP,LNMASTYS,"NUMBER(21,2)",
INT_FREQ,Interest Freq.,IFREQ,LNMASTYS,VARCHAR2(1 BYTE),
INT_MATURITY_DT,Int Maturity Date,INMDT8,LNMASTYS,"NUMBER(8,0)",
