Field,Description,Table_Name,Data_Types,Remarks
SA_PROD_UMRAH,Saving Account - Umrah Saver,DDRMST,VARCHAR2(10 BYTE),
SA_PROD_QURBAN,Saving Account - I Tabung Qurban,DDRMST,VARCHAR2(10 BYTE),
SA_PROD_iAMEEN,Saving Account - I Ameen (Kanak-Kanak),DDRMST,VARCHAR2(10 BYTE),
SA_PROD_NURI,Saving Account - I Ameen (Kanak-Kanak),DDRMST,VARCHAR2(10 BYTE),
SA_PROD_DEWASA,Saving Account - i Dewasa,DDRMST,VARCHAR2(10 BYTE),
SA_PROD_REMAJA,Saving Account - I Remaja (1),DDRMST,VARCHAR2(10 BYTE),
SA_PROD_SYABAB,Saving Account - I Syabab (Remaja,DDRMST,VARCHAR2(10 BYTE),
SA_PROD_TAWFIR_1,Saving Account - I Tawfir (Dewasa,DDRMST,VARCHAR2(10 BYTE),
SA_PROD_TAWFIR_2,Saving Account - I Tawfir (Tanpa Buku,DDRMST,VARCHAR2(10 BYTE),
SA_PROD_RIZQ_PLUS,Saving Account - I Ar Rahnu (Genius,DDRMST,VARCHAR2(10 BYTE),
CA_PROD_ISLAMIC_IND_EXT,Investment Account -1 RIZQ Plus,DDRMST,VARCHAR2(10 BYTE),
CA_PROD_ISLAMIC_IND,Current Account - Islamic C/A (EXT)(IND/JOINT),DDRMST,VARCHAR2(10 BYTE),
CA_PROD_ISLAMIC_CORPT,Current Account - Islamic C/A (CORPT),DDRMST,VARCHAR2(10 BYTE),
CA_PROD_ISLAMIC_CORPT_EXT,CA_PROD_ISLAMIC_CORPT_EX T,DDRMST,VARCHAR2(10 BYTE),
CA_PROD_ISLAMIC_CORPT_ZERO,Current Account - Islamic C/A (CORPT) RM 0.00 BAL,DDRMST,VARCHAR2(10 BYTE),
FD_PROD_IND_0.3_M,AKAUN DEPOSIT-i BERJANGKA (ANGGOTA IND 0.3%M),CDMAST,VARCHAR2(10 BYTE),
FD_PROD_IND_0.3_Y,AKAUN DEPOSIT-i BERJANGKA (ANGGOTA IND 0.3%Y),CDMAST,VARCHAR2(10 BYTE),
FD_PROD_IND_MTH,DEPOSIT-i BERJANGKA (INDIVIDU - PROFIT MONTHLY),CDMAST,VARCHAR2(10 BYTE),
FD_PROD_IND_YR,AKAUN DEPOSIT-i BERJANGKA (IND-YR),CDMAST,VARCHAR2(10 BYTE),
FD_PROD_IND_PROFIT_MATURITY,DEPOSIT-i BERJANGKA (INDIVIDU - PROFIT MONTHLY),CDMAST,VARCHAR2(10 BYTE),
FD_PROD_IND_PROFIT_MONTHLY,DEPOSIT-i BERJANGKA (INDIVIDU - PROFIT MONTHLY),CDMAST,VARCHAR2(10 BYTE),
FD_PROD_IND_PROFIT_YEAR,DEPOSIT-i BERJANGKA (INDIVIDU - PROFIT YEARLY),CDMAST,VARCHAR2(10 BYTE),
FD_PROD_NONIND_COOP_MTH,AKAUN DEPOSIT-i BERJANGKA (COOPMTH),CDMAST,VARCHAR2(10 BYTE),
FD_PROD_NONIND_COOP_YR,AKAUN DEPOSIT-i BERJANGKA (COOPYR),CDMAST,VARCHAR2(10 BYTE),
FD_PROD_NONIND_COOP_PR _YR,DEPOSIT-i BERJANGKA (COOP - PROFIT YEARLY,CDMAST,VARCHAR2(10 BYTE),
FD_PROD_NONIND_CORP_MTH,AKAUN DEPOSIT-i BERJANGKA (CORPMTH),CDMAST,VARCHAR2(10 BYTE),
FD_PROD_NONIND_CORP_YR,AKAUN DEPOSIT-i BERJANGKA (CORP-YR),CDMAST,VARCHAR2(10 BYTE),
FD_PROD_NONIND_CORP_PR_ YR,DEPOSIT-i BERJANGKA (CORPORATE - PROFIT YEARLY),CDMAST,VARCHAR2(10 BYTE),
